iso3,country,year,homicide_rate,gini,gdppc,pop,democracy,gini_interp,log_homicide,log_gdppc,gini_c,democracy_c,gini_x_dem
DNK,Denmark,2018,0.552312207592757,28.2,326500781502.599,5793636,9.22,28.2,-0.5756980538133695,26.511698179236138,-7.8734784212467694,2.6568203198494835,-20.918417457464848
DNK,Denmark,2019,0.859901642730301,27.7,332088518944.146,5814422,9.22,27.7,-0.1393751280576178,26.52866739365096,-8.37347842124677,2.6568203198494835,-22.24682761738959
DNK,Denmark,2019,0.395554755655939,27.7,332088518944.146,5814422,9.22,27.7,-0.9024993820989832,26.52866739365096,-8.37347842124677,2.6568203198494835,-22.24682761738959
DNK,Denmark,2020,0.823111601929511,27.5,326176991232.295,5831404,9.15,27.5,-0.18258766988348893,26.510705988877,-8.573478421246769,2.5868203198494832,-22.178048191872207
DNK,Denmark,2020,0.685926334941259,27.5,326176991232.295,5831404,9.15,27.5,-0.3625114648508685,26.510705988877,-8.573478421246769,2.5868203198494832,-22.178048191872207
DNK,Denmark,2021,0.631746832067094,28.3,347379325644.417,5856733,9.09,28.3,-0.44356139564027575,26.573683177308425,-7.773478421246768,2.5268203198494827,-19.642183230717812
DNK,Denmark,2021,0.597598354658062,28.3,347379325644.417,5856733,9.09,28.3,-0.4982412162002259,26.573683177308425,-7.773478421246768,2.5268203198494827,-19.642183230717812
DNK,Denmark,2022,0.982567307766424,29.3,348921108389.075,5903037,9.28,29.3,-0.007460452330874877,26.57811168313448,-6.773478421246768,2.7168203198494822,-18.40232381090521
DNK,Denmark,2022,0.559046916487793,29.3,348921108389.075,5903037,9.28,29.3,-0.5637923939706275,26.57811168313448,-6.773478421246768,2.7168203198494822,-18.40232381090521
DNK,Denmark,2023,0.840599404536194,29.9,351030642724,5946952,9.28,29.9,-0.16181399621434905,26.584139357809725,-6.17347842124677,2.7168203198494822,-16.772231618995527
DNK,Denmark,2023,0.689291511719679,29.9,351030642724,5946952,9.28,29.9,-0.3576875825989824,26.584139357809725,-6.17347842124677,2.7168203198494822,-16.772231618995527
